"place_id","place_name","city","state","region","place_type","category","significance","description","mood_tags","best_time_to_visit","ideal_visit_time","recommended_duration_hours","entry_fee","rating","crowd_level","family_friendly","adventure_level","cultural_value","nature_value","budget_level","latitude","longitude","nearest_airport","nearest_railway","local_tips","food_specialty","safety_score","cleanliness_score","photography_spots","weather_type","seasonal_highlight","priority"
"IND011","Akshardham Temple","Delhi","Delhi","North","Temple","Spiritual","Modern marvel","Sprawling complex with towering deity statues musical fountains and exhibitions depicting Indian culture through 12,000+ statues,magnificent","spiritual","modern","Oct-Mar","Morning","4","0","4.8","High","Yes","Low","High","Medium","28.6139","77.2539","Indira Gandhi Intl","Delhi Jn","Full day needed; water show evenings","Gulab jamun","9.5","9.2","High","Sunny","Diwali lights","Must Visit"
"IND012","Humayun's Tomb","Delhi","Delhi","North","Monument","Heritage","UNESCO site","First garden-tomb in India precursor to Taj Mahal with symmetrical gardens and intricate Mughal lattice work from 1570,historic","gardened","royal","Oct-Mar","Morning","2","30","4.5","Medium","Yes","Low","High","Low","28.5932","77.2505","Indira Gandhi Intl","Delhi Jn","Sunset golden hour; explore Charbagh garden","Mughlai biryani","9.0","8.6","High","Sunny","Autumn symmetry","Must Visit"
"IND013","Taj Mahal","Agra","Uttar Pradesh","North","Monument","Heritage","UNESCO Wonder","Symmetrical white marble mausoleum built by Shah Jahan symbolizing eternal love with reflecting pool and calligraphy inlays,romantic","iconic","wondrous","Oct-Mar","Morning","3","1100","4.8","High","Yes","Low","High","Low","27.1751","78.0421","Agra Airport","Agra Cantt","Sunrise marble glow; no shoes inside","Petha","9.3","8.8","High","Sunny","Full moon nights","Must Visit"
"IND014","Agra Fort","Agra","Uttar Pradesh","North","Fort","Heritage","UNESCO site","Red sandstone fort housing palaces mosques and Taj views site of Mughal imprisonment and architectural evolution over centuries,magnificent","historic","fortified","Oct-Mar","Morning","3","1100","4.6","High","Yes","Medium","High","Medium","27.1804","78.0237","Agra Airport","Agra Fort","Combine with Taj; audio guide useful","Agra ka petha","9.2","8.5","High","Sunny","Winter mornings","Must Visit"
"IND015","Fatehpur Sikri","Agra","Uttar Pradesh","North","Monument","Heritage","UNESCO abandoned city"," Akbar's planned city with Buland Darwaza and Salim Chishti tomb showcasing Mughal syncretic architecture before abandonment,historic","sprawling","spiritual","Oct-Apr","Morning","4","50","4.5","Medium","Yes","Low","High","Low","27.0952","77.9092","Agra Airport","Fatehpur Sikri","Full exploration needed; carry water","Mughlai kebabs","8.9","8.3","High","Sunny","Spring flowers","Must Visit"
"IND016","Mehtab Bagh","Agra","Uttar Pradesh","North","Garden","Heritage","Taj viewpoint","Mughal garden across Yamuna offering perfect Taj Mahal frame sunset views and moonlit reflections in serene park setting,romantic","scenic","gardened","Oct-Mar","Evening","1.5","300","4.4","Low","Yes","Low","Medium","Low","27.1744","78.0467","Agra Airport","Agra Cantt","Sunset golden hour; no tripods","Badam halwa","9.0","8.6","High","Sunny","Monsoon Taj glow","Recommended"
"IND017","Jama Masjid","Delhi","Delhi","North","Mosque","Spiritual","Largest mosque","India's largest mosque built by Shah Jahan accommodating 25,000 worshippers with red sandstone minarets and courtyard views,grand","spiritual","historic","Oct-Mar","Morning","1","0","4.3","High","Yes","Low","High","Low","28.6600","77.2345","Indira Gandhi Intl","Delhi Jn","Climb minaret for views; modest dress","Biryani","9.1","8.7","Medium","Sunny","Eid celebrations","Recommended"
"IND018","Lodi Gardens","Delhi","Delhi","North","Garden","Nature","Historical park","Expansive green space with 15th-century tombs lakes and monuments perfect for jogging picnics and spotting butterflies butterflies,relaxing","natural","historic","Oct-Mar","Morning","2","0","4.6","Low","Yes","Low","Medium","High","28.5833","77.2167","Indira Gandhi Intl","Lodi Colony","Great for runs; boating available","Momos","9.2","9.1","High","Sunny","Mango blossom","Recommended"
"IND019","Meera Mahal","Jodhpur","Rajasthan","North","Palace","Heritage","Royal residence","Century-old royal apartments turned museum displaying miniature paintings weapons and royal memorabilia in blue city backdrop,royal","artistic","historic","Oct-Mar","Morning","1.5","30","4.2","Low","Yes","Low","High","Low","26.2389","73.0243","Jodhpur Airport","Jodhpur Jn","Explore zenana section; photography allowed","Rabdi","8.8","8.4","Medium","Sunny","Winter blue skies","Recommended"
"IND020","Clock Tower","Jodhpur","Rajasthan","North","Monument","Heritage","City landmark","1902 six-story clock tower at Sardar Market center surrounded by vibrant bazaars selling handicrafts spices and textiles,historic","vibrant","iconic","Oct-Mar","Morning","1","0","4.1","High","Yes","Low","Medium","Low","26.2389","73.0243","Jodhpur Airport","Jodhpur Jn","Bargain shopping; early morning best","Mirchi vada","8.9","8.2","Medium","Sunny","Festival markets","Optional"
"IND021","Shankaracharya Temple","Srinagar","Jammu & Kashmir","North","Temple","Spiritual","Ancient hilltop","Ancient Shiva temple atop Shankaracharya Hill offering panoramic Dal Lake and city views dedicated to Adi Shankara's visit,serene","spiritual","panoramic","Apr-Oct","Morning","2","0","4.3","Low","Yes","Medium","High","Medium","33.8739","74.8639","Srinagar Intl","Srinagar Jn","Trek 1km; pony available","Kahwa tea","8.7","8.5","High","Cool","Holy dips","Recommended"
"IND022","Pari Mahal","Srinagar","Jammu & Kashmir","North","Garden","Heritage","Pleasure garden","Terraced Mughal garden with star-shaped pavilions astronomical instruments and sunset views over Dal Lake,romantic","scenic","historic","Apr-Oct","Evening","1.5","20","4.4","Low","Yes","Low","Medium","High","34.0522","74.8453","Srinagar Intl","Srinagar Jn","Night lighting magical; photography haven","Wazwan","8.8","8.6","High","Cool","Autumn colors","Recommended"
"IND023","Golden Temple","Amritsar","Punjab","North","Temple","Spiritual","Sikh holiest shrine","Gleaming gold-plated Harmandir Sahib surrounded by sarovar lake offering free community kitchen and soulful kirtan music,peaceful","spiritual","magnificent","Oct-Mar","Early morning","3","0","4.9","High","Yes","Low","High","Low","31.6200","74.8769","Amritsar Intl","Amritsar Jn","Langar experience; cover head","Jalebi","9.6","9.4","High","Cool","Guru Nanak Jayanti","Must Visit"
"IND024","Jallianwala Bagh","Amritsar","Punjab","North","Monument","Heritage","Martyr memorial","Garden commemorating 1919 massacre with Martyrs' Gallery well of death and eternal flame symbolizing India's freedom struggle,patriotic","somber","historic","Oct-Mar","Morning","1","0","4.5","Medium","Yes","Low","High","Low","31.6203","74.8768","Amritsar Intl","Amritsar Jn","Respectful silence; audio guide available","Amritsari kulcha","9.3","9.0","Medium","Cool","Independence Day","Recommended"
"IND025","Wagah Border","Amritsar","Punjab","North","Monument","Heritage","Beating retreat","India-Pakistan border ceremony with parade flag lowering and patriotic fervor drawing cheering crowds daily at sunset,patriotic","energetic","spectacular","Oct-Mar","Evening","2","200","4.7","High","Yes","Low","Medium","Low","31.6049","74.5761","Amritsar Intl","Attari","Arrive 3 hours early; carry ID","Lassi","9.4","9.1","Low","Cool","Republic Day","Recommended"
"IND026","Rock Garden","Chandigarh","Chandigarh","North","Garden","Art","Recycled art","8-acre sculpture garden made entirely from urban waste depicting rural Punjabi life with waterfalls and folk figures,creative","unique","environmental","Oct-Mar","Morning","2","20","4.3","Medium","Yes","Low","Medium","High","30.7279","76.8511","Chandigarh Intl","Chandigarh Jn","Interactive exhibits; wear shoes","Punjabi samosa","8.9","8.7","High","Sunny","Spring flowers","Recommended"
"IND027","Jakhoo Temple","Shimla","Himachal Pradesh","North","Temple","Spiritual","Hanuman abode","World's largest Hanuman statue atop Jakhoo Hill offering panoramic Shimla valley views and ancient cave temple","devotional","panoramic","spiritual","Apr-Jun Morning","3","0","4.4","Low","No","High","High","Medium","31.1049","77.1643","Shimla Airport","Kalka Shimla","Steep climb; auto-rickshaw available","Siddu","8.6","8.4","High","Cool","Snowy peaks","Recommended"
"IND028","Mysore Palace","Mysuru","Karnataka","South","Palace","Heritage","Royal residence","Indo-Saracenic palace with golden throne Durbar Hall and 97 rooms illuminated during Dasara with dazzling light shows,magnificent","royal","festive","Oct-Mar","Morning","3","70","4.7","High","Yes","Low","High","Low","12.3065","76.6564","Mysuru Airport","Mysuru Jn","Sunday illumination; audio guide","Dosa","9.3","9.0","High","Tropical","Dasara festival","Must Visit"
"IND029","Mysore Zoo","Mysuru","Karnataka","South","Wildlife","Nature","Oldest zoo","One of Asia's best zoos housing tigers white tigers and birds in naturalistic habitats with children's park and aquarium,educational,wildlife","family","Oct-Mar","Morning","3","80","4.5","High","Yes","Medium","Low","High","Medium","12.3421","76.6339","Mysuru Airport","Ashokapuram","Battery vehicles available; early visit","Mysore masala dose","9.2","8.8","Medium","Tropical","Summer shade","Must Visit"
"IND030","Chamundi Hills","Mysuru","Karnataka","South","Hill Station","Nature","Spiritual hill","1,000-step climb to Chamundeshwari Temple offering panoramic Mysore views and Nandi statue amidst forested hills,pilgrimage","scenic","spiritual","Oct-Mar","Morning","2","0","4.3","Medium","Yes","Medium","High","High","12.2567","76.6628","Mysuru Airport","Mysuru Jn","Battery bus available; sunrise trek","Mysore pak","9.1","8.9","High","Tropical","Monsoon mist","Recommended"
"IND031","Brindavan Gardens","Mysuru","Karnataka","South","Garden","Nature","Musical fountain","Garden adjacent to Krishna Raja Sagara dam with synchronized musical fountains terraced flowers and evening light shows,romantic","scenic","musical","Oct-Mar","Evening","1.5","20","4.2","High","Yes","Low","Low","High","12.4172","76.3653","Mysuru Airport","KRS Road","Battery car; evening show must-see","Filter coffee","8.9","8.7","High","Tropical","Flower festival","Recommended"
"IND032","St. Philomena's Church","Mysuru","Karnataka","South","Church","Heritage","Gothic architecture","Neo-Gothic church with 165-ft towers housing Asia's tallest church tower and ornate stained glass windows,architectural","spiritual","serene","Oct-Mar","Morning","1","0","4.1","Low","Yes","Low","Medium","Low","12.3128","76.6465","Mysuru Airport","Mysuru Jn","Angel choir acoustics; photography inside","Benne dosa","8.8","8.6","Medium","Tropical","Christmas lights","Optional"
"IND033","Bannimantap Nature Park","Mysuru","Karnataka","South","Park","Nature","Wildlife park","Urban forest park with deer bear enclosures boating lake and children's rides amidst 65 acres of greenery,family","natural","recreational","Oct-Mar","Morning","2","10","4.0","Low","Yes","Medium","Low","High","12.2889","76.6847","Mysuru Airport","Bannimantap","Picnic spot; feed deer carefully","Iddli vada","8.7","8.5","High","Tropical","Bird season","Optional"
"IND034","Vidhana Soudha","Bengaluru","Karnataka","South","Monument","Heritage","State legislature","Neo-Dravidian granite building housing Karnataka legislature illuminated nightly showcasing republican democracy architecture,imposing","governmental","architectural","Oct-Mar","Morning","1","0","4.4","Medium","Yes","Low","High","Low","12.9791","77.5908","Kempegowda Intl","Bengaluru City","Public viewing only; Republic Day flag","Masala dosa","9.0","8.9","Medium","Tropical","Rainy illuminations","Recommended"
"IND035","Lalbagh Botanical Garden","Bengaluru","Karnataka","South","Garden","Nature","Historical gardens","240-acre garden with glass house 300-year-old trees and rock formation offering tranquil walks and flower shows,serene","botanical","historic","Oct-Mar","Morning","3","25","4.6","Medium","Yes","Low","Low","High","12.9506","77.5848","Kempegowda Intl","Lalbagh","Glass house Sundays; early walks","Juice centers","9.2","9.1","High","Tropical","Mango season","Must Visit"
"IND036","Bangalore Palace","Bengaluru","Karnataka","South","Palace","Heritage","Tudor style","Wodeyar royal residence mimicking Windsor Castle with Durbar Hall paintings and vintage cars open for guided tours,royal","elegant","historic","Oct-Mar","Afternoon","2","250","4.5","Medium","Yes","Low","High","Low","12.9989","77.5922","Kempegowda Intl","Bengaluru City","Camera fee extra; audio guide available","Biryani","9.1","8.8","Medium","Tropical","Christmas events","Must Visit"
"IND037","Cubbon Park","Bengaluru","Karnataka","South","Park","Nature","Victorian park","300-acre green lung with State Library museum and walking paths planted during British era perfect for morning exercise,relaxing","natural","historic","Year-round","Morning","2","0","4.4","Medium","Yes","Low","Low","High","12.9769","77.5925","Kempegowda Intl","Vidhana Soudha","High Security Museum nearby; jogger's park","Filter coffee","9.0","9.0","High","Tropical","Flower shows","Recommended"
"IND038","Tipu Sultan's Summer Palace","Bengaluru","Karnataka","South","Palace","Heritage","Tiger of Mysore","Only wooden palace surviving Tipu Sultan with Persian inscriptions and tiger motifs showcasing 18th-century Indo-Islamic art,historic","wooden","royal","Oct-Mar","Morning","1","15","4.2","Low","Yes","Low","High","Low","12.9697","77.5731","Kempegowda Intl","KR Market","Combine with museum; no shoes","Ragi mudde","8.8","8.6","Medium","Tropical","Monsoon greens","Recommended"
"IND039","Nandi Hills","Bengaluru","Karnataka","South","Hill Station","Nature","Sunrise spot","60km hill station with 18th-century temple Tipu's fort and sunrise trekking offering misty valley views year-round,scenic","trekking","historic","Year-round","Dawn","3","15","4.5","Medium","Yes","High","Medium","High","13.3714","77.6833","Kempegowda Intl","Chikkaballapur","Start 4AM for sunrise; paragliding","Dosa","9.1","8.9","High","Cool","Summer sunrise","Recommended"
"IND040","ISKCON Temple","Bengaluru","Karnataka","South","Temple","Spiritual","Krishna temple","Golden spires housing deities with cultural shows Govinda kirtans and massive kitchen serving 15,000 meals daily,spiritual","devotional","magnificent","Year-round","Morning","2","0","4.6","High","Yes","Low","High","Low","12.9731","77.4938","Kempegowda Intl","Yesvantpur","Free meals; dress modestly","Satvic food","9.4","9.3","Medium","Tropical","Janmashtami","Must Visit"
"IND041","Meenakshi Temple","Madurai","Tamil Nadu","South","Temple","Spiritual","Dravidian marvel","17th-century gopurams with 33,000 sculptures depicting mythology housing Sundareswarar-Meenaakshi shrines in vibrant colors,spectacular","spiritual","mythological","Sep-Feb","Morning","4","0","4.8","High","Yes","Low","High","Low","9.9197","78.1195","Madurai Airport","Madurai Jn","Aarti ceremonies; early morning best","Idli","9.5","9.2","High","Tropical","Pongal festival","Must Visit"
"IND042","Rock Fort Temple","Trichy","Tamil Nadu","South","Temple","Spiritual","Hill temple","83-ft rock cut temple atop 273-ft hill dedicated to Thayumanavar with Ucchi Pillayar temple offering Trichy panoramic views,ancient","panoramic","spiritual","Oct-Mar","Morning","2","15","4.4","Medium","Yes","High","High","Medium","10.8306","78.7114","Trichy Airport","Trichy Jn","437 steps; sunrise climb","Sambar rice","9.0","8.8","High","Tropical","Deepam festival","Recommended"
"IND043","Sabarmati Ashram","Ahmedabad","Gujarat","West","Ashram","Heritage","Gandhi memorial","Riverbank ashram where Mahatma Gandhi lived 1917-1930 showcasing simple living spinning wheel and independence movement artifacts,inspirational","historic","peaceful","Oct-Mar","Morning","2","0","4.6","Medium","Yes","Low","High","Low","23.0617","72.6079","Ahmedabad Intl","Ahmedabad Jn","Evening prayer; spinning demo","Fafda jalebi","9.2","9.0","Medium","Sunny","Gandhi Jayanti","Must Visit"
"IND044","Kankaria Lake","Ahmedabad","Gujarat","West","Lake","Recreation","City oasis","76-acre lake with zoo aquarium toy train musical fountain and 34-point amusement park perfect for family outings,family","fun","aquatic","Oct-Mar","Evening","3","20","4.3","High","Yes","Medium","Low","High","23.0249","72.6263","Ahmedabad Intl","Maninagar","Baloon safari; night shows","Dhokla","9.1","8.9","High","Sunny","Diwali lights","Recommended"
"IND045","Sidi Saiyyed Mosque","Ahmedabad","Gujarat","West","Mosque","Heritage","UNESCO latticework","16th-century mosque famous for intricate jali screens depicting entwined tree of life motif symbolizing Indo-Islamic art,historic","artistic","architectural","Oct-Mar","Morning","1","0","4.5","Low","Yes","Low","High","Low","23.0233","72.6636","Ahmedabad Intl","Ahmedabad Jn","Photography haven; quiet contemplation","Khandvi","9.0","8.8","High","Sunny","Monsoon shadows","Recommended"
"IND046","Calico Museum","Ahmedabad","Gujarat","West","Museum","Heritage","Textile museum","Private museum showcasing 12th-century double ikat patola sarees embroidered textiles in restored haveli appointment only,artistic","textile","historic","Oct-Mar","By appointment","2","Free","4.7","Low","Yes","Low","High","Low","23.0324","72.5719","Ahmedabad Intl","Ahmedabad Jn","Prior booking essential; no photography","Undhiyu","9.3","9.1","Medium","Sunny","Winter exhibits","Must Visit"
"IND047","Marine Drive","Mumbai","Maharashtra","West","Promenade","Relaxation","Queen's necklace","Crescent-shaped boulevard hugging Arabian Sea offering sunset views skyscrapers and local life from Nariman Point to Girgaon,romantic","scenic","urban","Oct-Mar","Evening","2","0","4.6","High","Yes","Low","Low","Medium","19.0745","72.8336","Chhatrapati Shivaji","Mumbai CST","Street food caution; evening strolls","Vada pav","9.4","8.7","High","Tropical","Monsoon waves","Must Visit"
"IND048","Gateway of India","Mumbai","Maharashtra","West","Monument","Heritage","Indo-Saracenic arch","Basilica-style arch built to welcome King George V now ferry point to Elephanta with sea breezes and colonial history,iconic","historic","maritime","Oct-Mar","Morning","1","25","4.5","High","Yes","Low","High","Low","18.9204","72.8355","Chhatrapati Shivaji","Mumbai CST","Elephanta ferry; early morning best","Bhel puri","9.3","8.6","High","Tropical","Independence Day","Must Visit"
"IND049","Elephanta Caves","Mumbai","Maharashtra","West","Cave","Heritage","UNESCO rock-cut","Rock-cut 5-8th century Shaiva caves on island with 20-ft Trimurti statue showcasing Gupta-era sculpture and cave architecture,magnificent","ancient","spiritual","Nov-May","Morning","3","40","4.7","Medium","Yes","Low","High","Medium","18.9634","72.9312","Chhatrapati Shivaji","Mumbai CST","Ferry 1hr; wear shoes for rocks","Pav bhaji","9.2","8.5","Medium","Tropical","Spring ferries","Must Visit"
"IND050","Chhatrapati Shivaji Maharaj Terminus","Mumbai","Maharashtra","West","Railway","Heritage","UNESCO station","Victorian Gothic railway station with flying buttresses sculptures and busiest platform handling 3M passengers monthly,architectural","bustling","historic","Year-round","Morning","1","0","4.6","High","Yes","Low","High","Low","18.9402","72.8355","Mumbai CST","Mumbai CST","Local train experience; photography","Khava","9.1","8.4","High","Tropical","Monsoon architecture","Recommended"
"IND051","Haji Ali Dargah","Mumbai","Maharashtra","West","Temple","Spiritual","Sea shrine","Bollywood-famous mosque tomb on islet accessible at low tide housing Sufi saint tomb with qawwali and sea breezes,spiritual","musical","maritime","Nov-May","Evening","2","0","4.4","High","Yes","Low","High","Medium","19.0182","72.8278","Chhatrapati Shivaji","Mumbai Central","Time tides; modest dress","Mumbai chaat","9.0","8.3","Medium","Tropical","Full moon nights","Recommended"
"IND052","Bandra-Worli Sea Link","Mumbai","Maharashtra","West","Bridge","Engineering","Cable-stayed marvel","5.6km sea bridge reducing travel time with stunning skyline sea views especially magical at night when illuminated,modern","scenic","engineering","Year-round","Night","1","0","4.5","Low","Yes","Low","Low","Medium","19.0569","72.8253","Chhatrapati Shivaji","Bandra","Rs300 toll; photography stops","Misal pav","8.9","8.2","High","Tropical","Rainy bridge","Must Visit"
"IND053","Shaniwar Wada","Pune","Maharashtra","West","Fort","Heritage","Peshwa palace","Ruined 18th-century Peshwa residence with massive gates ramparts and light sound show depicting Maratha history and tragedy,historic","fortified","magnificent","Oct-Mar","Evening","2","20","4.3","Medium","Yes","Medium","High","Low","18.5197","73.8553","Pune Airport","Pune Jn","Evening show in Marathi; explore gates","Sabudana vada","8.8","8.6","Medium","Sunny","Winter evenings","Recommended"
"IND054","Aga Khan Palace","Pune","Maharashtra","West","Palace","Heritage","Gandhi memorial","Italian marble palace where Gandhi Kasturba Nehru detained during Quit India houses memorials museum and serene gardens,inspirational","historic","serene","Oct-Mar","Morning","2","10","4.4","Low","Yes","Low","High","Medium","18.5581","73.8358","Pune Airport","Pune Jn","Freedom struggle exhibits; Italian gardens","Pure veg thali","9.0","8.9","High","Sunny","Spring peace","Recommended"
"IND055","Sinhagad Fort","Pune","Maharashtra","West","Fort","Adventure","Trek fort","Hill fort famous for 1670 Tanaji Malusare battle with sheer cliffs cisterns and panoramic Sahyadri views accessible by trek,adventurous","historic","panoramic","Oct-May","Morning","4","20","4.5","Medium","Yes","High","High","High","18.4031","73.5695","Pune Airport","Khadakwasla","Tough 5km trek; carry water","Pithla bhakri","8.7","8.5","High","Cool","Monsoon clouds","Recommended"
"IND056","ISKCON Pune","Pune","Maharashtra","West","Temple","Spiritual","Krishna temple","Modern temple complex with deity worship cultural programs and massive kitchen serving spiritual prasadam daily to devotees,spiritual","devotional","modern","Year-round","Morning","2","0","4.6","Medium","Yes","Low","High","Low","18.4539","73.8416","Pune Airport","Pune Jn","Midday aarti; book shows","Satvic prasadam","9.2","9.1","Medium","Tropical","Janmashtami","Must Visit"
"IND057","Rajabai Clock Tower","Mumbai","Maharashtra","West","Monument","Heritage","Neo-Gothic tower","85m Gothic tower with 16 bells playing hymns housing Bombay University library with Victorian stained glass windows,architectural","melodious","historic","Oct-Mar","Morning","1","0","4.2","Low","Yes","Low","High","Low","18.9389","72.8247","Mumbai CST","Churchgate","Library access restricted; bell chimes","Kanda poha","8.9","8.7","Medium","Tropical","Rainy Gothic","Optional"
"IND058","Manekshaw Fountain","Mumbai","Maharashtra","West","Fountain","Heritage","Art Deco fountain","1930s Art Deco fountain at Hutatma Chowk illuminated nightly with synchronized water jets and historical significance,artistic","illuminated","historic","Oct-Mar","Evening","1","0","4.1","Medium","Yes","Low","Medium","Low","18.9392","72.8333","Mumbai CST","Chhatrapati Shivaji","Combine with market; night best","Sabudana khichdi","8.8","8.6","Medium","Tropical","Diwali lights","Optional"
"IND059","Sabarmati Riverfront","Ahmedabad","Gujarat","West","Promenade","Recreation","Urban renewal","11km promenade with lawns amphitheater flower gardens and Gandhi Ashram views perfect for jogging festivals,modern","scenic","urban","Oct-Mar","Evening","2","0","4.4","Medium","Yes","Low","Low","Medium","23.0381","72.5865","Ahmedabad Intl","Sabarmati","Heritage walk; evening promenade","Street chaat","9.0","8.8","High","Sunny","Uttarayan kites","Recommended"
"IND060","Dumas Beach","Surat","Gujarat","West","Beach","Adventure","Haunted beach","Black sand beach with Arabian Sea waves kite flying and local legends drawing adventure seekers and sunset lovers,adventurous","mystical","scenic","Oct-Mar","Evening","2","0","4.2","Medium","Yes","Medium","Low","High","21.1433","72.7692","Surat Airport","Surat Jn","Night caution; evening safer","Undhiyu","8.6","8.4","High","Sunny","Kite festival","Recommended"
"IND061","Padmanabhapuram Palace","Thuckalay","Tamil Nadu","South","Palace","Heritage","World's largest wood palace","16th-century Travancore palace entirely wood-crafted with intricate carvings hanging pillars and defensive architecture,architectural","ancient","royal","Sep-May","Morning","2","35","4.6","Low","Yes","Low","High","Low","8.2683","77.3092","Thiruvananthapuram Intl","Nagercoil","Shoes off; photography restricted","Kappa chips","9.1","8.9","Medium","Tropical","Summer wood shine","Must Visit"
"IND062","Kanyakumari Beach","Thuckalay","Tamil Nadu","South","Beach","Nature","Triveni sangam","Confluence point of three seas with Vivekananda Rock sunrise views lighthouse and diamond nose Thiruvalluvar statue,scenic","spiritual","unique","Oct-Mar","Morning","2","0","4.5","High","Yes","Low","High","High","8.0883","77.5708","Thiruvananthapuram Intl","Nagercoil","Ferry to rocks; sunrise must-see","Banana chips","9.0","8.8","High","Tropical","Full moon sunrise","Must Visit"
